name,price,Brand,link,
"A300F  Galaxy A3  4.5\  16 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  Pearl White (Brand Warranty)""",†22999,Samsung†,https://www.daraz.pk/a300f-galaxy-a3-4.5-16-gb-hdd-1-gb-ram-8-mp-camera-pearl-white-brand-warranty-samsung-mpg107.html,
"SMG531  Grand Prime  5.0\  8 GB  1 GB RAM  1.3 GHz QuadCore  8 MP Camera  White (Brand Warranty)""",†17450,Samsung†,https://www.daraz.pk/sm-g531-grand-prime-5.0-8-gb-1-gb-ram-1.3-ghz-quad-core-8-mp-camera-white-brand-warranty-samsung-mpg6033.html,
G20  Pursuit  Dual Sim  4 GB  512 MB RAM  5 MP Camera  Black (Brand Warranty),†6490,Haier†,https://www.daraz.pk/g20-pursuit-dual-sim-4-gb-512-mb-ram-5-mp-camera-black-brand-warranty-haier-mpg3324.html,
"A300F  Galaxy A3  4.5\  16 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  Platinum Silver (Brand Warranty)""",†24000,Samsung†,https://www.daraz.pk/a300f-galaxy-a3-4.5-16-gb-hdd-1-gb-ram-8-mp-camera-platinum-silver-brand-warranty-samsung-mpg109.html,
"RM1067  Lumia 640XL  Dual Sim  5.7\  8 GB  1 GB RAM  1.2 GHz Quadcore  13 MP Camera  Black (Brand Warranty)""",†20119,Microsoft†,https://www.daraz.pk/rm1067-lumia-640xl-dual-sim-5.7-8-gb-hdd-1-gb-ram-13-mp-camera-black-brand-warranty-microsoft-mpg804.html,
RM1141  Lumia 540  Dual Sim  5''  8 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  White (Brand Warranty),†13984,Microsoft†,https://www.daraz.pk/rm-1141-lumia-540-dual-sim-5-8-gb-hdd-1-gb-ram-8-mp-camera-white-brand-warranty-microsoft-mpg939.html,
"L50  Esteem  Dual SIM  5\  8 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  Black (Brand Warranty)""",†17000,Haier†,https://www.daraz.pk/esteem-l50-dual-sim-5-8-gb-hdd-1-gb-ram-8mp-camera-black-brand-warranty-haier-mpg588.html,
"RM1067  Lumia 640XL  Dual Sim  5.7\  8 GB  1 GB RAM  1.2 GHz Quadcore  13 MP Camera  White (Brand Warranty)""",†20119,Microsoft†,https://www.daraz.pk/rm1067-lumia-640xl-dual-sim-5.7-8-gb-hdd-1-gb-ram-13-mp-camera-white-brand-warranty-microsoft-mpg938.html,
"RM1067  Lumia 640XL  Dual Sim  5.7\  8 GB  1 GB RAM  1.2 GHz Quadcore  13 MP Camera  Orange (Brand Warranty)""",†20119,Microsoft†,https://www.daraz.pk/rm1067-lumia-640xl-dual-sim-5.7-8-gb-hdd-1-gb-ram-13-mp-camera-orange-brand-warranty-microsoft-mpg803.html,
"RM1141  Lumia 540  5\  1 GB RAM  8 GB HDD  8 MP Camera  Black (Brand Warranty)""",†13984,Microsoft†,https://www.daraz.pk/rm-1141-lumia-540-5-1-gb-ram-8-gb-hdd-8-mp-camera-black-brand-warranty-microsoft-mpg822.html,
RM1141  Lumia 540  Dual Sim  5''  8 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  Orange (Brand Warranty),†13985,Microsoft†,https://www.daraz.pk/rm-1141-lumia-540-dual-sim-5-8-gb-hdd-1-gb-ram-8-mp-camera-orange-brand-warranty-microsoft-mpg937.html,
